,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,heat_source,sewer_system,sqft_garage,sqft_patio,yr_built,yr_renovated,lat,long,street address,city,zipcode,floodzones_in_zipcode,area_flood_score_max,area_flood_score_min,avg_area_flood_score,price,grade score,has_basement,on_waterfront,near_greenbelt,view score,nuisance,condition score
11752,1137450140,2021-07-16,4,3.0,2850,5625,2.0,Gas,PUBLIC,480,100,2013,0,47.50187,-122.15,5208 Northeast 11th Court,Renton,98059,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333,1200000.0,9,0,0,0,0,0,3
11753,4037800275,2021-12-08,3,1.0,1020,8470,1.0,Gas,PUBLIC,490,0,1958,0,47.61174000000001,-122.126017,16020 Northeast 2nd Street,Bellevue,98008,"['X', 'AE', 'A', 'C', 'A06']",2.4,2.2,2.3,975000.0,7,0,0,0,0,0,3
11754,7861500160,2021-12-10,3,3.0,2100,179467,2.0,Gas,PRIVATE,750,560,1997,0,47.32975,-122.131,15659 Southeast 303rd Place,Kent,98042,"['X', 'A', 'AE']",2.6666666666666665,2.333333333333333,2.5,850000.0,8,0,0,0,0,1,3
11755,3013300970,2021-09-20,4,3.0,2200,4181,1.0,Gas,PUBLIC,290,0,1965,0,47.530845,-122.382205,3900 Southwest Elmgrove Street,Seattle,98136,"['X', 'A']",2.5,2.0,2.25,875000.0,7,1,0,0,0,0,4
11756,7100000020,2021-09-10,3,1.0,1020,8308,1.5,Electricity,PUBLIC,210,0,1948,0,47.50801,-122.37696,3525 Southwest 106th Street,Seattle,98146,"['X', 'A', 'VE', 'C', 'AO']",2.4,2.2,2.3,700000.0,7,0,0,0,0,1,4
11757,8151600521,2022-04-28,4,2.5,2170,9945,1.0,Oil,PUBLIC,370,0,1963,0,47.505475,-122.363145,10910 24th Place Southwest,Seattle,98146,"['X', 'A', 'VE', 'C', 'AO']",2.4,2.2,2.3,775000.0,7,1,0,0,0,0,3
11758,9826701780,2021-07-22,3,2.5,1940,1794,2.0,Gas,PUBLIC,460,80,2007,0,47.60361,-122.30257,211B 23rd Ave,Seattle,98122,['X'],2.0,1.0,1.5,840000.0,8,1,0,0,0,1,3
11759,3834000600,2021-09-29,3,3.0,1900,5039,1.5,Electricity,PUBLIC,620,40,1923,0,47.72746,-122.291195,13530 Erickson Place Northeast,Seattle,98125,"['X', 'AE', 'A', 'C']",2.25,2.0,2.125,727500.0,7,1,0,0,0,1,5
11760,9285800496,2022-02-03,3,2.0,1310,3680,1.0,Gas,PUBLIC,200,0,1930,0,47.57103,-122.37734,3603 Southwest Manning Street,Seattle,98126,"['X', 'C']",1.5,1.0,1.25,929000.0,7,1,0,0,0,1,4
11761,3526039164,2021-10-26,4,3.0,3020,7200,1.0,Gas,PUBLIC,0,0,1961,0,47.69686,-122.3926,9300 28th Avenue Northwest,Seattle,98117,"['X', 'A']",2.5,2.0,2.25,1416000.0,8,1,0,0,0,1,3
11762,4083302115,2022-05-13,1,1.0,480,5130,1.0,Gas,PUBLIC,0,0,1923,0,47.65621,-122.33588,4016 Wallingford Avenue North,Seattle,98103,['X'],2.0,1.0,1.5,1100000.0,5,0,0,0,0,1,3
11763,9477000430,2021-11-23,4,3.0,1370,7800,1.0,Electricity,PUBLIC,530,70,1967,0,47.734095,-122.189839,14535 114th Avenue Northeast,Kirkland,98034,['X'],2.0,1.0,1.5,975000.0,7,1,0,0,0,1,5
11764,8944550210,2022-05-16,4,3.0,2090,3430,2.0,Gas,PUBLIC,380,50,2011,0,47.5404,-122.28665,6789 37th Avenue South,Seattle,98118,['X'],2.0,1.0,1.5,901724.0,8,0,0,0,0,0,3
11765,7628700280,2022-01-24,3,2.0,1480,556,3.0,Electricity,PUBLIC,340,400,2021,0,47.57036,-122.3598,Southwest Charlestown Street,Seattle,98106,"['X', 'AE']",2.5,2.0,2.25,780000.0,9,1,0,0,2,1,3
11766,2422029096,2021-06-16,1,1.0,990,54885,1.0,Gas,PRIVATE,0,0,1994,0,47.37748,-122.49255,12210 Southwest 253rd Street,Vashon,98070,"['A', 'X', 'C', 'AE', 'B']",2.2,2.0,2.1,533000.0,7,0,0,0,0,0,3
11767,9558000240,2022-04-14,4,2.5,1940,3906,2.0,Gas,PUBLIC,440,150,2004,0,47.449175,-122.11797,17061 Parkside Way Southeast,Renton,98058,"['AE', 'X', 'A', 'A05', 'C', 'A07', 'B']",2.4285714285714284,2.2857142857142856,2.3571428571428568,825000.0,8,0,0,0,0,0,3
11768,3797002070,2021-12-10,3,2.0,1710,3000,1.0,Oil,PUBLIC,0,0,1922,0,47.68423,-122.345555,936 North 76th Street,Seattle,98103,['X'],2.0,1.0,1.5,965000.0,7,1,0,0,0,0,4
11769,8945000960,2022-02-22,4,2.0,1700,8705,1.0,Gas,PUBLIC,0,0,1962,0,47.30697,-122.36447,2416 Southwest 330th Street,Federal Way,98023,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333,615000.0,6,0,0,0,0,0,5
11770,4307330030,2021-10-13,4,2.5,2390,11143,2.0,Gas,PUBLIC,610,140,2004,0,47.47907,-122.18113,2749 Southeast 4th Street,Renton,98056,"['X', 'AE']",2.5,2.0,2.25,818000.0,7,0,0,1,0,0,3
11771,3057000530,2021-11-18,2,1.5,1090,2954,2.0,Gas,PUBLIC,290,0,1982,0,47.71815,-122.18927,13156 113th Place Northeast,Kirkland,98034,['X'],2.0,1.0,1.5,630000.0,7,0,0,0,0,1,4
11772,809001635,2022-04-20,4,3.5,3180,2000,2.5,Gas,PUBLIC,130,140,1903,0,47.635565,-122.35419,1820 Warren Avenue North,Seattle,98109,['X'],2.0,1.0,1.5,2450000.0,8,1,0,0,0,0,4
11773,6383500100,2021-08-17,4,3.0,2620,6421,1.0,Gas,PUBLIC,540,280,1958,0,47.696685,-122.3818,9239 20th Avenue Northwest,Seattle,98117,"['X', 'A']",2.5,2.0,2.25,1746000.0,8,1,0,0,3,0,4
11774,1442800040,2022-03-29,2,1.5,1390,4610,1.0,Electricity,PUBLIC,500,230,1980,0,47.373435,-122.055946,25432 213th Place Southeast,Maple Valley,98038,"['AE', 'X', 'A05', 'B', 'A', 'C', 'A01']",2.4285714285714284,2.2857142857142856,2.3571428571428568,500000.0,8,0,0,0,0,0,4
11775,9526600710,2021-09-14,4,2.5,3000,5639,2.0,Gas,PUBLIC,650,70,2008,0,47.70662,-122.11497,16829 Northeast 120th Street,Redmond,98052,"['AE', 'X', 'A', 'A06', 'B']",2.6,2.4,2.5,1960000.0,8,0,0,1,0,0,3
11776,9826701620,2021-10-26,3,2.5,1620,1263,2.0,Gas,PUBLIC,180,0,2007,0,47.60158,-122.30265,2211B E Yesler Way,Seattle,98144,['X'],2.0,1.0,1.5,740000.0,8,1,0,0,0,1,3
11777,7277100475,2022-05-11,6,3.5,3260,5840,2.0,Gas,PUBLIC,670,320,1952,2015,47.77154,-122.38729,2315 Northwest 196th Street,Shoreline,98177,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333,2060000.0,8,1,0,0,2,1,3
11778,2126049324,2021-08-25,4,2.5,2480,6106,2.0,Gas,PUBLIC,400,80,2015,0,47.72136,-122.3026,2344 Northeast 127th Street,Seattle,98125,"['X', 'AE', 'A', 'C']",2.25,2.0,2.125,1190000.0,8,0,0,0,0,0,3
11779,2767603800,2022-01-27,2,2.0,950,1259,2.0,Gas,PUBLIC,0,0,2008,0,47.672075,-122.385315,2205 Northwest 60th Street,Seattle,98107,"['X', 'C']",1.5,1.0,1.25,775000.0,8,0,0,0,0,1,3
11780,1193000155,2021-12-17,4,2.5,3070,5000,1.5,Gas,PUBLIC,0,0,1928,0,47.65018,-122.391895,3249 27th Avenue West,Seattle,98199,"['X', 'A']",2.5,2.0,2.25,1895000.0,8,1,0,0,0,0,5
11781,3756300020,2022-03-04,3,3.5,3460,8113,2.0,Gas,PUBLIC,420,450,2015,0,47.698395,-122.201435,10427 Northeast 110th Street,Kirkland,98033,"['X', 'AO']",2.5,2.0,2.25,2500000.0,9,0,0,0,0,0,3
11782,7308900540,2021-10-26,4,2.0,2670,7640,2.0,Gas,PUBLIC,0,300,1937,0,47.71616,-122.35918,12000 2nd Avenue Northwest,Seattle,98177,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333,999950.0,7,1,0,0,0,0,5
11783,381000005,2022-03-24,3,1.5,1650,5795,1.0,Oil,PUBLIC,240,0,1953,0,47.6792,-122.28476,6854 40th Avenue Northeast,Seattle,98115,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333,1235000.0,8,0,0,0,0,1,3
